コード,銘柄,市場
NQmain.US,NASDAQ-100先物(2609),米国株
ESmain.US,S&P500先物(2609),米国株
CLmain.US,WTI 原油先物(2609),米国株
US10Y.BD,米国債10年,債券
NK225main.JP,日経225先物(2609),日本株
.N225.JP,日経平均株価,日本株
.TOPIX.JP,TOPIX,日本株
GCmain.US,金先物(2612),米国株
.KOSPI.KR,Korea Composite Index,韓国
2644.JP,グローバルＸ 半導体関連－日本株式 ＥＴＦ,日本株
200A.JP,NEXT FUNDS 日経半導体株指数連動型上場投信,日本株
.SOX.US,PHLX Semiconductor Index,米国株
.VIX.US,恐怖指数 CBOE Volatility S&P 500,米国株
USDJPY.FX,米ドル/円,FX
MU.US,マイクロン・テクノロジー,米国株
314A.JP,iシェアーズ ゴールド ETF,日本株
9735.JP,セコム,日本株
9202.JP,ANAホールディングス,日本株
9104.JP,商船三井,日本株
9101.JP,日本郵船,日本株
9021.JP,西日本旅客鉄道,日本株
8830.JP,住友不動産,日本株
8750.JP,第一ライフグループ,日本株
8725.JP,MS&ADインシュアランスグループホールディングス,日本株
8697.JP,日本取引所グループ,日本株
8630.JP,SOMPOホールディングス,日本株
8591.JP,オリックス,日本株
8309.JP,三井住友トラストグループ,日本株
8308.JP,りそなホールディングス,日本株
8267.JP,イオン,日本株
8113.JP,ユニ・チャーム,日本株
8053.JP,住友商事,日本株
8015.JP,豊田通商,日本株
8002.JP,丸紅,日本株
7936.JP,アシックス,日本株
7832.JP,バンダイナムコホールディングス,日本株
7733.JP,オリンパス,日本株
7309.JP,シマノ,日本株
7270.JP,SUBARU,日本株
7269.JP,スズキ,日本株
7182.JP,ゆうちょ銀行,日本株
6971.JP,京セラ,日本株
6920.JP,レーザーテック,日本株
6762.JP,TDK,日本株
6723.JP,ルネサスエレクトロニクス,日本株
6702.JP,富士通,日本株
6701.JP,日本電気,日本株
6326.JP,クボタ,日本株
6178.JP,日本郵政,日本株
6146.JP,ディスコ,日本株
5803.JP,フジクラ,日本株
5802.JP,住友電気工業,日本株
5108.JP,ブリヂストン,日本株
5020.JP,ENEOSホールディングス,日本株
4901.JP,富士フイルムホールディングス,日本株
4689.JP,LINEヤフー,日本株
4661.JP,オリエンタルランド,日本株
4578.JP,大塚ホールディングス,日本株
4543.JP,テルモ,日本株
4519.JP,中外製薬,日本株
4507.JP,塩野義製薬,日本株
4307.JP,野村総合研究所,日本株
4188.JP,三菱ケミカルグループ,日本株
3407.JP,旭化成,日本株
2802.JP,味の素,日本株
2503.JP,キリンホールディングス,日本株
2502.JP,アサヒグループホールディングス,日本株
1928.JP,積水ハウス,日本株
1925.JP,大和ハウス工業,日本株
9984.JP,ソフトバンクグループ,日本株
9503.JP,関西電力,日本株
9501.JP,東京電力ホールディングス,日本株
9433.JP,KDDI,日本株
9432.JP,NTT,日本株
9022.JP,東海旅客鉄道,日本株
9020.JP,東日本旅客鉄道,日本株
8802.JP,三菱地所,日本株
8801.JP,三井不動産,日本株
8766.JP,東京海上ホールディングス,日本株
8604.JP,野村ホールディングス,日本株
8411.JP,みずほフィナンシャルグループ,日本株
8316.JP,三井住友フィナンシャルグループ,日本株
8306.JP,三菱UFJフィナンシャル・グループ,日本株
8058.JP,三菱商事,日本株
8035.JP,東京エレクトロン,日本株
8031.JP,三井物産,日本株
8001.JP,伊藤忠商事,日本株
7974.JP,任天堂,日本株
7751.JP,キヤノン,日本株
7741.JP,HOYA,日本株
7267.JP,本田技研工業,日本株
7203.JP,トヨタ自動車,日本株
7201.JP,日産自動車,日本株
6981.JP,村田製作所,日本株
6954.JP,ファナック,日本株
6902.JP,デンソー,日本株
6861.JP,キーエンス,日本株
6758.JP,ソニーグループ,日本株
6752.JP,パナソニック ホールディングス,日本株
6594.JP,ニデック,日本株
6501.JP,日立製作所,日本株
6367.JP,ダイキン工業,日本株
6301.JP,小松製作所,日本株
6273.JP,SMC,日本株
6098.JP,リクルートホールディングス,日本株
5401.JP,日本製鉄,日本株
4568.JP,第一三共,日本株
4503.JP,アステラス製薬,日本株
4502.JP,武田薬品工業,日本株
4452.JP,花王,日本株
4063.JP,信越化学工業,日本株
3382.JP,セブン&アイ・ホールディングス,日本株
2914.JP,日本たばこ産業,日本株
16002388.HK,不明な銘柄,
