コード,銘柄,市場,現在値,変化額,変化率,5分変化率,60日変化率,年初来変化率,買気配,売気配,買数量,売数量,出来高,売買代金,配当利回り,始値,前日終値,高値,安値,売買回転率,変化速度,変動幅,直近PER,前年PER,PBR,出来高比率,気配比,市場前価格,市場後価格,夜間価格,市場前変化率,市場後変化率,夜間変化率,市場前売買代金,市場後売買代金,市場前変動幅,市場後変動幅,市場前変化額,市場後変化額,夜間変化額,時価総額,浮動時価,株式総数,浮動株数,5日変化率,10日変化率,20日変化率,120日変化率,250日変化率,業種,NYダウ相関,ナスダック100相関,S&P 500相関,ラッセル2000相関,SOX指数相関,VIX指数相関,ハンセン相関,ハンセンテック相関,FTSE中国50相関,CSI 300相関,FTSE中国A50相関,日経225相関,TOPIX相関,シンガポールST相関,マレーシア総合相関,S&Pトロント総合相関,豪S&P/ASX200 相関,オプション出来高,オプション建玉,原資産IV,原資産HV,原資産IVとHVの差,IVランク,IVパーセンタイル,行使価格,満期日,市場建玉,プレミアム,IV,デルタ,ガンマ,セータ,ベガ,ロー,残存日数,本質的価値,時間的価値,レバレッジ,実効レバレッジ,損益分岐点,損益分岐点まで,利益確率
408A.JP,iシェアーズ AI グローバル・イノベーション アクティブ ETF,日本株,345,0.8,0.23%,0.03%,59.06%,56.82%,344.3,345,"4,130",920,"1,592,350","557,280,902",0.96%,354,344.2,355.1,344.2,3.48%,0.09%,3.17%,--,--,1.04,1.35,63.56%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,"15,800,680,530","15,800,680,530","45,799,074","45,799,074",7.98%,7.11%,9.63%,66.18%,69.95%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1632.JP,NEXT FUNDS 金融(除く銀行)(TOPIX-17)上場投信,日本株,"41,110.00",-680,-1.63%,-0.15%,20.42%,20.91%,"41,100.00","41,140.00","1,300",2,974,"40,203,020",1.77%,"41,880.00","41,790.00","41,880.00","41,000.00",0.28%,0.00%,2.11%,--,--,0.99,0.98,99.69%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,"14,558,654,290","14,558,654,290","354,139","354,139",0.76%,4.02%,3.58%,21.52%,39.26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1630.JP,ＮＥＸＴ ＦＵＮＤＳ 小売（ＴＯＰＩＸ－１７）上場投信,日本株,"36,850.00",-580,-1.55%,-,1.94%,-0.86%,"36,850.00","36,880.00",1,149,128,"4,751,070",2.13%,"37,510.00","37,430.00","37,510.00","36,820.00",0.24%,0.00%,1.84%,--,--,0.99,0.41,-98.67%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,"1,957,840,500","1,957,840,500","53,130","53,130",-1.55%,1.66%,1.24%,-1.05%,10.13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1629.JP,NEXT FUNDS 商社・卸売(TOPIX-17)上場投信,日本株,248.8,-4.1,-1.62%,-0.04%,-6.47%,8.84%,248.7,248.8,30,10,"1,327,320","331,070,335",2.28%,251.1,252.9,252.3,248.1,1.26%,0.04%,1.66%,--,--,0.99,1.12,50.00%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,"26,174,352,393","26,174,352,393","105,202,381","105,202,381",-1.74%,-4.89%,-10.60%,11.67%,45.06%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1628.JP,ＮＥＸＴ ＦＵＮＤＳ 運輸・物流（ＴＯＰＩＸ－１７）上場投信,日本株,"20,120.00",-265,-1.30%,-0.12%,-7.39%,-5.14%,"20,120.00","20,135.00",428,1,603,"12,159,970",3.25%,"20,230.00","20,385.00","20,235.00","20,090.00",0.80%,0.07%,0.71%,--,--,0.99,0.66,99.53%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,"1,513,245,320","1,513,245,320","75,211","75,211",-2.38%,-1.90%,-3.48%,-3.94%,4.55%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1625.JP,ＮＥＸＴ ＦＵＮＤＳ 電機・精密（ＴＯＰＩＸ－１７）上場投信,日本株,"70,560.00",-420,-0.59%,-0.01%,45.79%,44.12%,"70,530.00","70,610.00",200,201,"1,657","117,857,350",0.56%,"72,170.00","70,980.00","72,200.00","70,300.00",0.72%,-0.08%,2.68%,--,--,0.99,1.03,-0.25%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,"16,171,152,480","16,171,152,480","229,183","229,183",9.29%,4.70%,13.29%,47.99%,83.70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1624.JP,ＮＥＸＴ ＦＵＮＤＳ 機械（ＴＯＰＩＸ－１７）上場投信,日本株,"91,750.00","-1,150.00",-1.24%,-,9.88%,25.56%,"91,660.00","91,760.00",100,8,202,"18,700,330",3.07%,"93,830.00","92,900.00","93,830.00","91,380.00",0.49%,0.00%,2.64%,--,--,0.99,0.09,85.19%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,"3,796,615,000","3,796,615,000","41,380","41,380",8.17%,4.38%,4.83%,28.65%,46.40%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1623.JP,ＮＥＸＴ ＦＵＮＤＳ 鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,日本株,"75,940.00","5,940.00",8.49%,0.00%,31.43%,70.77%,"75,800.00","75,940.00",1,1,"12,217","935,784,480",1.21%,"76,260.00","70,000.00","79,630.00","74,770.00",12.53%,0.11%,6.94%,--,--,1.09,3.16,0.00%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,"7,404,301,880","7,404,301,880","97,502","97,502",18.42%,8.35%,6.82%,82.11%,177.76%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1619.JP,ＮＥＸＴ ＦＵＮＤＳ 建設・資材（ＴＯＰＩＸ－１７）上場投信,日本株,"50,540.00",-310,-0.61%,-0.04%,12.14%,16.77%,"50,480.00","50,560.00",328,200,396,"20,196,450",1.97%,"50,880.00","50,850.00","51,380.00","50,450.00",0.11%,0.04%,1.83%,--,--,1,0.39,24.24%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,"18,466,608,440","18,466,608,440","365,386","365,386",6.02%,4.46%,7.72%,19.00%,54.41%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1617.JP,ＮＥＸＴ ＦＵＮＤＳ 食品（ＴＯＰＩＸ－１７）上場投信,日本株,"46,200.00",-290,-0.62%,0.00%,8.22%,11.78%,"46,140.00","46,170.00",106,1,279,"12,921,820",2.04%,"46,350.00","46,490.00","46,520.00","46,120.00",0.35%,0.00%,0.86%,--,--,1,0.94,98.13%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,"3,690,733,200","3,690,733,200","79,886","79,886",0.87%,4.67%,1.56%,11.59%,20.09%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1571.JP,NEXT FUNDS 日経平均インバース・インデックス連動型上場投信,日本株,281,1,0.36%,0.00%,-29.75%,-32.45%,281,282,"630,362","615,074","3,950,043","1,102,973,563",0.00%,276,280,283,276,7.34%,0.00%,2.50%,--,--,0.14,1.27,1.23%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,"15,115,281,678","15,115,281,678","53,791,038","53,791,038",-7.26%,-6.33%,-11.64%,-34.19%,-50.53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200A.JP,NEXT FUNDS 日経半導体株指数連動型上場投信,日本株,"6,199.00",108,1.77%,0.27%,108.44%,161.01%,"6,197.00","6,200.00","1,883","2,058","4,294,420","26,868,481,624",0.40%,"6,291.00","6,091.00","6,356.00","6,145.00",26.57%,0.02%,3.46%,--,--,1.02,1.08,-4.44%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,"100,193,197,200","100,193,197,200","16,162,800","16,162,800",15.91%,19.90%,40.57%,179.49%,302.01%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1618.JP,NEXT FUNDS エネルギー資源（TOPIX-17）上場投信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620.JP,NEXT FUNDS 素材・化学（TOPIX-17）上場投信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621.JP,NEXT FUNDS 医薬品（TOPIX-17）上場投信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622.JP,NEXT FUNDS 自動車・輸送機（TOPIX-17）上場投信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
