コード,銘柄,市場
NQmain.US,NASDAQ-100先物(2609),米国株
ESmain.US,S&P500先物(2609),米国株
.SOX.US,PHLX Semiconductor Index,米国株
NK225main.JP,日経225先物(2609),日本株
.N225.JP,日経平均株価,日本株
200A.JP,NEXT FUNDS 日経半導体株指数連動型上場投信,日本株
TOPIXmain.JP,TOPIX先物(2609),日本株
.TOPIX.JP,TOPIX,日本株
USDJPY.FX,米ドル/円,FX
GCmain.US,金先物(2612),米国株
JP10Y.BD,日本国債10年,債券
US10Y.BD,米国債10年,債券
.VIX.US,恐怖指数 CBOE Volatility S&P 500,米国株
CLmain.US,WTI 原油先物(2609),米国株
.VXN.US,NASDAQ 100 Volatility,米国株
285A.JP,キオクシアホールディングス,日本株
9434.JP,ソフトバンク,日本株
8591.JP,オリックス,日本株
9501.JP,東京電力ホールディングス,日本株
9502.JP,中部電力,日本株
4689.JP,LINEヤフー,日本株
3436.JP,SUMCO,日本株
5411.JP,JFEホールディングス,日本株
8308.JP,りそなホールディングス,日本株
7004.JP,カナデビア,日本株
5406.JP,神戸製鋼所,日本株
9503.JP,関西電力,日本株
9202.JP,ANAホールディングス,日本株
3401.JP,帝人,日本株
5401.JP,日本製鉄,日本株
4208.JP,UBE,日本株
8304.JP,あおぞら銀行,日本株
6472.JP,NTN,日本株
7261.JP,マツダ,日本株
9001.JP,東武鉄道,日本株
5233.JP,太平洋セメント,日本株
4188.JP,三菱ケミカルグループ,日本株
5711.JP,三菱マテリアル,日本株
7201.JP,日産自動車,日本株
4005.JP,住友化学,日本株
9021.JP,西日本旅客鉄道,日本株
4061.JP,デンカ,日本株
8411.JP,みずほフィナンシャルグループ,日本株
8750.JP,第一ライフグループ,日本株
2768.JP,双日,日本株
1808.JP,長谷工コーポレーション,日本株
4902.JP,コニカミノルタ,日本株
4004.JP,レゾナック・ホールディングス,日本株
2432.JP,ディー・エヌ・エー,日本株
9007.JP,小田急電鉄,日本株
9602.JP,東宝,日本株
4183.JP,三井化学,日本株
9008.JP,京王電鉄,日本株
4043.JP,トクヤマ,日本株
8795.JP,T&Dホールディングス,日本株
6753.JP,シャープ,日本株
3697.JP,SHIFT,日本株
6674.JP,ジーエス・ユアサ コーポレーション,日本株
6302.JP,住友重機械工業,日本株
3861.JP,王子ホールディングス,日本株
8309.JP,三井住友トラストグループ,日本株
9005.JP,東急,日本株
4755.JP,楽天グループ,日本株
1332.JP,ニッスイ,日本株
5801.JP,古河電気工業,日本株
4751.JP,サイバーエージェント,日本株
9532.JP,大阪瓦斯,日本株
3402.JP,東レ,日本株
3086.JP,J.フロント リテイリング,日本株
9147.JP,NIPPON EXPRESSホールディングス,日本株
6471.JP,日本精工,日本株
5201.JP,AGC,日本株
9020.JP,東日本旅客鉄道,日本株
5301.JP,東海カーボン,日本株
9531.JP,東京瓦斯,日本株
4042.JP,東ソー,日本株
1605.JP,INPEX,日本株
5020.JP,ENEOSホールディングス,日本株
7202.JP,いすゞ自動車,日本株
6952.JP,カシオ計算機,日本株
7012.JP,川崎重工業,日本株
2269.JP,明治ホールディングス,日本株
9104.JP,商船三井,日本株
7186.JP,横浜フィナンシャルグループ,日本株
3289.JP,東急不動産ホールディングス,日本株
8604.JP,野村ホールディングス,日本株
7752.JP,リコー,日本株
2501.JP,サッポロビール,日本株
9432.JP,NTT,日本株
3407.JP,旭化成,日本株
6103.JP,オークマ,日本株
9101.JP,日本郵船,日本株
8601.JP,大和証券グループ本社,日本株
5714.JP,DOWAホールディングス,日本株
3405.JP,クラレ,日本株
8316.JP,三井住友フィナンシャルグループ,日本株
2871.JP,ニチレイ,日本株
5631.JP,日本製鋼所,日本株
8233.JP,高島屋,日本株
9107.JP,川崎汽船,日本株
9009.JP,京成電鉄,日本株
7731.JP,ニコン,日本株
6178.JP,日本郵政,日本株
8804.JP,東京建物,日本株
6473.JP,ジェイテクト,日本株
2002.JP,日清製粉グループ本社,日本株
9022.JP,東海旅客鉄道,日本株
8331.JP,千葉銀行,日本株
9064.JP,ヤマトホールディングス,日本株
5214.JP,日本電気硝子,日本株
6113.JP,アマダ,日本株
1963.JP,日揮ホールディングス,日本株
6770.JP,アルプスアルパイン,日本株
5706.JP,三井金属,日本株
7911.JP,TOPPANホールディングス,日本株
6723.JP,ルネサスエレクトロニクス,日本株
6526.JP,ソシオネクスト,日本株
6752.JP,パナソニック ホールディングス,日本株
7013.JP,IHI,日本株
2503.JP,キリンホールディングス,日本株
5332.JP,TOTO,日本株
6326.JP,クボタ,日本株
4506.JP,住友ファーマ,日本株
6504.JP,富士電機,日本株
4151.JP,協和キリン,日本株
5019.JP,出光興産,日本株
6963.JP,ローム,日本株
5831.JP,しずおかフィナンシャルグループ,日本株
3099.JP,三越伊勢丹ホールディングス,日本株
4911.JP,資生堂,日本株
4661.JP,オリエンタルランド,日本株
7912.JP,大日本印刷,日本株
8306.JP,三菱UFJフィナンシャル・グループ,日本株
1803.JP,清水建設,日本株
6701.JP,日本電気,日本株
9201.JP,日本航空,日本株
4324.JP,電通グループ,日本株
8252.JP,丸井グループ,日本株
4385.JP,メルカリ,日本株
1801.JP,大成建設,日本株
1812.JP,鹿島建設,日本株
5101.JP,横浜ゴム,日本株
8630.JP,SOMPOホールディングス,日本株
6479.JP,ミネベアミツミ,日本株
2282.JP,日本ハム,日本株
8697.JP,日本取引所グループ,日本株
7951.JP,ヤマハ,日本株
1802.JP,大林組,日本株
7270.JP,SUBARU,日本株
6976.JP,太陽誘電,日本株
1928.JP,積水ハウス,日本株
8725.JP,MS&ADインシュアランスグループホールディングス,日本株
7272.JP,ヤマハ発動機,日本株
3092.JP,ZOZO,日本株
5713.JP,住友金属鉱山,日本株
5333.JP,NGK,日本株
8802.JP,三菱地所,日本株
6645.JP,オムロン,日本株
6724.JP,セイコーエプソン,日本株
8253.JP,クレディセゾン,日本株
4523.JP,エーザイ,日本株
6702.JP,富士通,日本株
7011.JP,三菱重工業,日本株
6361.JP,荏原製作所,日本株
2502.JP,アサヒグループホールディングス,日本株
1721.JP,コムシスホールディングス,日本株
2413.JP,エムスリー,日本株
4502.JP,武田薬品工業,日本株
6501.JP,日立製作所,日本株
6503.JP,三菱電機,日本株
8002.JP,丸紅,日本株
6841.JP,横河電機,日本株
6506.JP,安川電機,日本株
6305.JP,日立建機,日本株
4021.JP,日産化学,日本株
1925.JP,大和ハウス工業,日本株
8801.JP,三井不動産,日本株
6301.JP,小松製作所,日本株
2914.JP,日本たばこ産業,日本株
4307.JP,野村総合研究所,日本株
6861.JP,キーエンス,日本株
4452.JP,花王,日本株
8053.JP,住友商事,日本株
7453.JP,良品計画,日本株
4704.JP,トレンドマイクロ,日本株
9843.JP,ニトリホールディングス,日本株
6532.JP,ベイカレント,日本株
6273.JP,SMC,日本株
8267.JP,イオン,日本株
5802.JP,住友電気工業,日本株
3382.JP,セブン&アイ・ホールディングス,日本株
2801.JP,キッコーマン,日本株
5108.JP,ブリヂストン,日本株
7751.JP,キヤノン,日本株
7735.JP,SCREENホールディングス,日本株
2802.JP,味の素,日本株
7733.JP,オリンパス,日本株
6981.JP,村田製作所,日本株
3659.JP,ネクソン,日本株
4507.JP,塩野義製薬,日本株
8830.JP,住友不動産,日本株
4578.JP,大塚ホールディングス,日本株
6902.JP,デンソー,日本株
8766.JP,東京海上ホールディングス,日本株
7269.JP,スズキ,日本株
7267.JP,本田技研工業,日本株
4568.JP,第一三共,日本株
4901.JP,富士フイルムホールディングス,日本株
8031.JP,三井物産,日本株
7974.JP,任天堂,日本株
8001.JP,伊藤忠商事,日本株
4503.JP,アステラス製薬,日本株
9735.JP,セコム,日本株
8058.JP,三菱商事,日本株
7832.JP,バンダイナムコホールディングス,日本株
6146.JP,ディスコ,日本株
7741.JP,HOYA,日本株
6920.JP,レーザーテック,日本株
4062.JP,イビデン,日本株
4543.JP,テルモ,日本株
5803.JP,フジクラ,日本株
8015.JP,豊田通商,日本株
7203.JP,トヨタ自動車,日本株
6971.JP,京セラ,日本株
6988.JP,日東電工,日本株
6758.JP,ソニーグループ,日本株
6367.JP,ダイキン工業,日本株
9766.JP,コナミグループ,日本株
4519.JP,中外製薬,日本株
6098.JP,リクルートホールディングス,日本株
4063.JP,信越化学工業,日本株
6762.JP,TDK,日本株
9433.JP,KDDI,日本株
6954.JP,ファナック,日本株
9984.JP,ソフトバンクグループ,日本株
8035.JP,東京エレクトロン,日本株
9983.JP,ファーストリテイリング,日本株
6857.JP,アドバンテスト,日本株
16002983.HK,不明な銘柄,
